"Fund Category","Fund Name","Scheme Name","Dividend Date","Dividend Individual/ HUF (Rs) per Unit","Dividend Others (Rs) per Unit"
"Close Ended","HDFC FMP 1161D JULY 2016 (1)","HDFC FMP 1161D JULY 2016 (1)- Direct - Normal Dividend - Series-36","30 Sep, 2019","2.2609","2.0936"
"Close Ended","HDFC FMP 1161D JULY 2016 (1)","HDFC FMP 1161D JULY 2016 (1)- Direct-Quarterly Dividend - Series-36","30 Sep, 2019","0.1598","0.1480"
"Close Ended","HDFC FMP 1112D June 2016 (1)","HDFC FMP 1112D JUNE 2016 (1) - Regular- Normal Dividend- Series-36","23 Jul, 2019","1.7581","1.6280"
"Close Ended","HDFC FMP 1112D June 2016 (1)","HDFC FMP 1112D JUNE 2016 (1)- Regular - Quarterly Dividend - Series-36","23 Jul, 2019","0.0303","0.0281"
"Close Ended","HDFC FMP 1128D June 2016 (1)","HDFC FMP 1128D JUNE 2016 (1) - Regular- Normal Dividend- Series-36","31 Jul, 2019","2.0547","1.9027"
"Close Ended","HDFC FMP 1128D June 2016 (1)","HDFC FMP 1128D JUNE 2016 (1)- Regular - Quarterly Dividend - Series-36","31 Jul, 2019","0.0489","0.0453"
"Close Ended","HDFC FMP 1128D June 2016 (1)","HDFC FMP 1128D JUNE 2016 (1)- Direct - Normal Dividend - Series-36","31 Jul, 2019","2.1910","2.0289"
"Close Ended","HDFC FMP 1128D June 2016 (1)","HDFC FMP 1128D JUNE 2016 (1)- Direct-Quarterly Dividend - Series-36","31 Jul, 2019","0.0500","0.0463"
"Close Ended","HDFC FMP 1127D June 2016 (1)","HDFC FMP 1127D JUNE 2016 (1)- Regular - Quarterly Dividend - Series-36","25 Jun, 2019","0.1287","0.1192"
"Close Ended","HDFC FMP 1127D June 2016 (1)","HDFC FMP 1127D JUNE 2016 (1)- Direct-Quarterly Dividend - Series-36","25 Jun, 2019","0.1297","0.1201"
"Close Ended","HDFC FMP 1113D June 2016 (1)","HDFC FMP 1113D June 2016 (1) - Regular- Normal Dividend- Series-36","25 Jun, 2019","1.7999","1.6667"
"Close Ended","HDFC FMP 1113D June 2016 (1)","HDFC FMP 1113D June 2016 (1)- Regular Quarterly Dividend - Series-36","25 Jun, 2019","0.1201","0.1112"
"Close Ended","HDFC FMP 1113D June 2016 (1)","HDFC FMP 1113D June 2016 (1)- Direct Normal Dividend - Series-36","25 Jun, 2019","1.8679","1.7297"
"Close Ended","HDFC FMP 1113D June 2016 (1)","HDFC FMP 1113D June 2016 (1)- Direct-Quarterly Dividend - Series-36","25 Jun, 2019","0.1210","0.1121"
"Close Ended","HDFC FMP 1127D May 2016 (1)","HDFC FMP 1127D MAY 2016 (1)- Regular Quarterly Dividend - Series-36","25 Mar, 2019","0.1086","0.1005"
